2026-06-03 13:37:23 [WARNING ] UNKNOWN device — TELESCOP='FutureScopeX 9000', INSTRUMENT='', CREATOR='', dimensions=9999×9999. Check surprises.log and update DEVICE_SIGNATURES if this is a new device.
2026-06-03 13:37:23 [WARNING ] Device identified by image size (3856×2180) as DWARF_3. TELESCOP='DWARF-III-V2' is not in known signatures — possible firmware rename. Please update DEVICE_SIGNATURES.
2026-06-03 13:37:23 [WARNING ] Device identified by image size (1920×1080) as DWARF_MINI. TELESCOP='' is not in known signatures — possible firmware rename. Please update DEVICE_SIGNATURES.
2026-06-03 13:37:23 [WARNING ] Device identified by image size (1080×1920) as SEESTAR_S50. TELESCOP='' is not in known signatures — possible firmware rename. Please update DEVICE_SIGNATURES.
2026-06-03 13:37:23 [WARNING ] Unrecognised IMAGETYP value: 'Experimental' — falling back to inference.
2026-06-03 13:37:23 [WARNING ] Cannot classify frame — IMAGETYP='', OBJECT='', RA=45.0, DEC=30.0.
2026-06-03 14:10:20 [INFO    ] Found 15408 FITS file(s) under /Users/edm/Astronomy/Astrocapture/2026
2026-06-03 14:10:20 [DEBUG   ] [1/15408] bias_gain_2_bin_1.fits
2026-06-03 14:10:20 [WARNING ] Device identified by image size (3856×2180) as DWARF_3. TELESCOP='' is not in known signatures — possible firmware rename. Please update DEVICE_SIGNATURES.
2026-06-03 14:10:20 [WARNING ] Cannot classify frame — IMAGETYP='', OBJECT='', RA=None, DEC=None.
2026-06-03 14:10:20 [DEBUG   ] [2/15408] bias_gain_2_bin_1.fits
2026-06-03 14:10:20 [WARNING ] Device identified by image size (1920×1080) as DWARF_MINI. TELESCOP='' is not in known signatures — possible firmware rename. Please update DEVICE_SIGNATURES.
2026-06-03 14:10:20 [WARNING ] Cannot classify frame — IMAGETYP='', OBJECT='', RA=None, DEC=None.
2026-06-03 14:10:21 [DEBUG   ] [70/15408] Barnard 33_30s60_Duo-Band_20260324-210801070_36C.fits
2026-06-03 14:10:21 [DEBUG   ] [71/15408] Barnard 33_30s60_Duo-Band_20260324-210930996_36C.fits
2026-06-03 14:10:21 [DEBUG   ] [72/15408] Barnard 33_30s60_Duo-Band_20260324-211000984_36C.fits
2026-06-03 14:10:21 [DEBUG   ] [73/15408] Barnard 33_30s60_Duo-Band_20260324-211030968_36C.fits
2026-06-03 14:10:21 [DEBUG   ] [74/15408] Barnard 33_30s60_Duo-Band_20260324-211100950_36C.fits
2026-06-03 14:10:21 [DEBUG   ] [75/15408] Barnard 33_30s60_Duo-Band_20260324-211130923_36C.fits
2026-06-03 14:10:21 [DEBUG   ] [76/15408] Barnard 33_30s60_Duo-Band_20260324-211230884_36C.fits
2026-06-03 14:10:21 [DEBUG   ] [77/15408] Barnard 33_30s60_Duo-Band_20260324-211300864_36C.fits
2026-06-03 14:10:21 [DEBUG   ] [78/15408] Barnard 33_30s60_Duo-Band_20260324-211330846_36C.fits
2026-06-03 14:10:21 [DEBUG   ] [79/15408] Barnard 33_30s60_Duo-Band_20260324-211400839_36C.fits
2026-06-03 14:10:21 [DEBUG   ] [80/15408] Barnard 33_30s60_Duo-Band_20260324-211430810_36C.fits
2026-06-03 14:10:21 [DEBUG   ] [81/15408] Barnard 33_30s60_Duo-Band_20260324-211500790_36C.fits
2026-06-03 14:10:21 [DEBUG   ] [82/15408] Barnard 33_30s60_Duo-Band_20260324-211600754_36C.fits
2026-06-03 14:10:21 [DEBUG   ] [83/15408] Barnard 33_30s60_Duo-Band_20260324-211630735_36C.fits
2026-06-03 14:10:21 [DEBUG   ] [84/15408] Barnard 33_30s60_Duo-Band_20260324-211700728_36C.fits
2026-06-03 14:10:21 [DEBUG   ] [85/15408] Barnard 33_30s60_Duo-Band_20260324-211730710_36C.fits
2026-06-03 14:10:21 [DEBUG   ] [86/15408] Barnard 33_30s60_Duo-Band_20260324-211800691_36C.fits
2026-06-03 14:10:21 [DEBUG   ] [87/15408] Barnard 33_30s60_Duo-Band_20260324-211830674_36C.fits
2026-06-03 14:10:21 [DEBUG   ] [88/15408] Barnard 33_30s60_Duo-Band_20260324-211930625_36C.fits
2026-06-03 14:10:21 [DEBUG   ] [89/15408] Barnard 33_30s60_Duo-Band_20260324-212000606_36C.fits
2026-06-03 14:10:21 [DEBUG   ] [90/15408] Barnard 33_30s60_Duo-Band_20260324-212030600_36C.fits
2026-06-03 14:10:21 [DEBUG   ] [91/15408] Barnard 33_30s60_Duo-Band_20260324-212100582_36C.fits
2026-06-03 14:10:21 [DEBUG   ] [92/15408] Barnard 33_30s60_Duo-Band_20260324-212130562_36C.fits
2026-06-03 14:10:21 [DEBUG   ] [93/15408] Barnard 33_30s60_Duo-Band_20260324-212200552_36C.fits
2026-06-03 14:10:21 [DEBUG   ] [94/15408] Barnard 33_30s60_Duo-Band_20260324-212300495_37C.fits
2026-06-03 14:10:21 [DEBUG   ] [95/15408] Barnard 33_30s60_Duo-Band_20260324-212330476_36C.fits
2026-06-03 14:10:21 [DEBUG   ] [96/15408] Barnard 33_30s60_Duo-Band_20260324-212400469_36C.fits
2026-06-03 14:10:21 [DEBUG   ] [97/15408] Barnard 33_30s60_Duo-Band_20260324-212430449_36C.fits
2026-06-03 14:10:21 [DEBUG   ] [98/15408] Barnard 33_30s60_Duo-Band_20260324-212500432_36C.fits
2026-06-03 14:10:21 [DEBUG   ] [99/15408] Barnard 33_30s60_Duo-Band_20260324-212530422_36C.fits
2026-06-03 14:10:21 [DEBUG   ] [100/15408] Barnard 33_30s60_Duo-Band_20260324-212630366_36C.fits
2026-06-03 14:10:21 [DEBUG   ] [101/15408] Barnard 33_30s60_Duo-Band_20260324-212700347_36C.fits
2026-06-03 14:10:21 [DEBUG   ] [102/15408] Barnard 33_30s60_Duo-Band_20260324-212730340_36C.fits
2026-06-03 14:10:21 [DEBUG   ] [103/15408] Barnard 33_30s60_Duo-Band_20260324-212800321_36C.fits
